,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
156,882aa8c701fffff,0.1666666666666666,0.0,0.67278757275243
157,882aa8c705fffff,0.1836734693877551,0.0,0.8263880763899489
158,882aa8c709fffff,0.0,0.0,0.611628415923193
159,882aa8c70bfffff,1.0,1.0,0.0
160,882aa8c70dfffff,0.4333333333333333,0.0,0.8586846693457445
161,882aa8c717fffff,0.5,0.0,0.3010476302806998
162,882aa8c721fffff,0.0,0.0,0.7065836524665041
163,882aa8c723fffff,0.5,0.0,0.4084056758292964
164,882aa8c725fffff,0.3333333333333333,0.0,0.7419361491429458
165,882aa8c727fffff,0.5,0.0,0.662051685123372
166,882aa8c729fffff,0.3714285714285714,0.0,0.8194093352267207
167,882aa8c72bfffff,0.0,0.0,0.6483594641466159
168,882aa8c72dfffff,0.7272727272727273,1.0,0.4160377125126733
169,882aa8c733fffff,0.4,0.0,0.8181257618047352
170,882aa8c735fffff,0.0,0.0,0.2390646068473696
171,882aa8c737fffff,0.2666666666666666,0.0,0.7152066614225899
172,882aa8c73bfffff,0.0,0.0,0.1487597152507798
173,882aa8c741fffff,0.3870967741935484,0.0,0.7918548148054791
174,882aa8c743fffff,0.2564102564102564,0.0,0.7965646410156549
175,882aa8c745fffff,0.4170403587443946,0.0,0.7574877553736723
176,882aa8c749fffff,0.2551020408163265,0.0,0.8227793233520408
177,882aa8c74bfffff,0.3580246913580246,0.0,0.7888092822639112
178,882aa8c74dfffff,0.2307692307692307,0.0,0.7411291496391701
179,882aa8c759fffff,0.0,0.0,0.5235767964601689
180,882aa8c75dfffff,0.2463768115942029,0.0,0.8027935091084135
181,882aa8c761fffff,0.3048780487804878,0.0,0.8376667178274911
182,882aa8c763fffff,0.3146067415730337,0.0,0.8098134876386772
183,882aa8c765fffff,0.369047619047619,0.0,0.6419737560223676
184,882aa8c767fffff,0.4133333333333333,0.0,0.8059474977337207
185,882aa8c769fffff,0.3642384105960264,0.0,0.8237039287932768
186,882aa8c76bfffff,0.4958677685950413,0.0,0.7374651143403234
187,882aa8c76dfffff,0.3424124513618677,0.0,0.4881574757771803
188,882aa8d501fffff,0.2,0.0,0.7623686171252249
189,882aa8d503fffff,0.6666666666666666,1.0,0.5894303112505326
190,882aa8d507fffff,0.2549019607843137,0.0,0.7708651048672244
191,882aa8d509fffff,0.1724137931034483,0.0,0.8187396649485248
192,882aa8d50dfffff,0.0,0.0,0.4782287175457237
193,882aa8d511fffff,0.5,0.0,0.6224926068965677
194,882aa8d515fffff,0.2285714285714285,0.0,0.6819849455290848
195,882aa8d517fffff,0.2222222222222222,0.0,0.7809953203346445
196,882aa8d51dfffff,0.2352941176470588,0.0,0.7337645308848695
197,882aa8d521fffff,0.1333333333333333,0.0,0.2531856829619179
198,882aa8d523fffff,0.5,0.0,0.7057403297602544
199,882aa8d525fffff,0.5238095238095238,1.0,0.7941944423248062
200,882aa8d529fffff,0.0,0.0,0.5466278486588487
201,882aa8d52bfffff,1.0,1.0,0.3373768502245844
202,882aa8d52dfffff,0.0,0.0,0.5296318752339876
203,882aa8d531fffff,0.3,0.0,0.7684721868895048
204,882aa8d533fffff,0.4285714285714285,0.0,0.6444328032519474
205,882aa8d539fffff,0.2,0.0,0.6350593713331607
206,882aa8d53bfffff,0.25,0.0,0.7700094114686216
207,882aa8d53dfffff,0.2045454545454545,0.0,0.8164821396830463
208,882aa8d555fffff,0.5,0.0,0.6217180201588955
209,882aa8d563fffff,0.6666666666666666,1.0,0.7027613209588541
210,882aa8d581fffff,0.1111111111111111,0.0,0.7175193482838532
211,882aa8d585fffff,0.5555555555555556,1.0,0.6200277556905742
212,882aa8d587fffff,0.0769230769230769,0.0,0.7248532104616967
213,882aa8d58dfffff,0.2666666666666666,0.0,0.791335654920895
214,882aa8d5a1fffff,0.0,0.0,0.5841926572768705
215,882aa8d5a3fffff,0.4150943396226415,0.0,0.8015483008582877
216,882aa8d5a5fffff,0.1428571428571428,0.0,0.7838937772843194
217,882aa8d5a7fffff,0.4,0.0,0.7991195684478992
218,882aa8d5a9fffff,0.4705882352941176,0.0,0.7344177927865734
219,882aa8d5abfffff,0.1428571428571428,0.0,0.6998295981689646
220,882aa8d5adfffff,0.1538461538461538,0.0,0.8443822505056445
221,882aa8d5b1fffff,0.5238095238095238,1.0,0.7026288764686731
222,882aa8d5b3fffff,0.7777777777777778,1.0,0.7810339119650577
223,882aa8d5b5fffff,0.3372093023255814,0.0,0.794341197292872
224,882aa8d5b7fffff,0.25,0.0,0.7642551216605459
225,882aa8d5b9fffff,0.3714285714285714,0.0,0.7638111030754519
226,882aa8d5bbfffff,0.4166666666666667,0.0,0.7436606525190218
227,882aa8d5bdfffff,0.6,1.0,0.3291542305515659
228,882aa8d5e1fffff,0.5555555555555556,1.0,0.6487768239558478
229,882aa8d5e3fffff,0.2857142857142857,0.0,0.6142416265775129
230,882aa8d5e5fffff,0.8,1.0,0.845315347020677
231,882aa8d5e7fffff,0.1111111111111111,0.0,0.7601478848454662
232,882aa8d5e9fffff,0.48,0.0,0.6693499798362593
233,882aa8d5ebfffff,0.3125,0.0,0.7616549004980502
234,882aa8d5edfffff,0.0,0.0,0.6358402981958626
