,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
33,882664528bfffff,0.0,0.0,0.544679410485484
34,88266452c3fffff,0.2222222222222222,0.0,0.7760153251698223
35,88266452c9fffff,0.5,0.0,0.6682849674052533
36,88266452cbfffff,0.5714285714285714,1.0,0.6565257605970832
37,88266452d1fffff,0.25,0.0,0.820843109948615
38,88266452d3fffff,0.0909090909090909,0.0,0.6685657371777637
39,88266452d5fffff,0.1666666666666666,0.0,0.75557093108672
40,88266452d7fffff,0.3076923076923077,0.0,0.7414255696764073
41,88266452d9fffff,0.0,0.0,0.4261518536199312
42,88266452dbfffff,0.2916666666666667,0.0,0.7503853855876523
43,88266452ddfffff,0.125,0.0,0.8013901989385308
44,8826645601fffff,0.25,0.0,0.5494147093893839
45,8826645603fffff,0.6666666666666666,1.0,0.6985986092033595
46,8826645605fffff,0.4705882352941176,0.0,0.661390586551598
47,8826645607fffff,0.2142857142857142,0.0,0.6417811396704299
48,8826645609fffff,0.3703703703703703,0.0,0.7222582609590752
49,882664560bfffff,0.4444444444444444,0.0,0.6685718336883721
50,882664560dfffff,0.1304347826086956,0.0,0.666411430422987
51,8826645615fffff,1.0,1.0,0.1618303772185297
52,8826645619fffff,1.0,1.0,0.2468842890975182
53,882664561dfffff,0.3333333333333333,0.0,0.7962289461944656
54,8826645629fffff,0.1428571428571428,0.0,0.7446952874188477
55,882664562bfffff,0.3333333333333333,0.0,0.6709707200527658
56,882664562dfffff,0.4285714285714285,0.0,0.8628574701396224
57,8826645639fffff,1.0,1.0,0.4765234360375486
58,8826645641fffff,0.6923076923076923,1.0,0.6389996169984464
59,8826645643fffff,0.1904761904761904,0.0,0.6447183636329815
60,8826645645fffff,0.2,0.0,0.6392931070071625
61,8826645647fffff,0.0,0.0,0.5040331367411839
62,8826645649fffff,0.4705882352941176,0.0,0.8660484061446341
63,882664564bfffff,0.4166666666666667,0.0,0.6828520450773207
64,882664564dfffff,0.6666666666666666,1.0,0.349634884104944
65,8826645651fffff,0.2857142857142857,0.0,0.7817914257217489
66,8826645655fffff,0.5454545454545454,1.0,0.7500530652827558
67,8826645657fffff,0.4,0.0,0.6380232804625598
