,polygon,hex_index,Total_population,Percent_females,Median_age,Percent_white,Percent_black,Median_household_income,Total_housing_units,Percent_occupied_housing_units,Percent_housing_units_rented,Percent_unemployed,Population_above_16,Ethnic_diversity,Percent_single_parent_houshold
31,"POLYGON ((-75.15346833418872 40.02668277539791, -75.15972849643414 40.02557342256181, -75.1615551736701 40.02113382815321, -75.15712259731067 40.017803893582986, -75.1508634111015 40.01891300572954, -75.14903582531774 40.023352293103684, -75.15346833418872 40.02668277539791))",882a134aa1fffff,1379.430623273945,50.65512184462877,46.63149659435299,1.9254144242468567,93.73475176830048,36158.17076275704,665.91149253699,90.56432446615587,41.817650294535504,8.181505949512738,1100.3906567523877,0.08994307743307285,83.55054456873073
32,"POLYGON ((-75.20553257317344 39.88583850252773, -75.2117730613878 39.88472816001317, -75.21358948000257 39.88029578188593, -75.20916631477519 39.87697405166118, -75.20292679593679 39.87808415296764, -75.2011094730509 39.88251622567484, -75.20553257317344 39.88583850252773))",882aacb29dfffff,0.0,,,,,,0.0,,,,0.0,0.0,
33,"POLYGON ((-75.0514309073131 40.04882736495263, -75.05769606404489 40.04772325159354, -75.05953308718236 40.043284113320965, -75.05510586087303 40.03994939732782, -75.04884168278738 40.041053271894484, -75.04700375246773 40.045492101214734, -75.0514309073131 40.04882736495263))",882a134111fffff,1383.18227298743,52.66078308752654,33.98745435696489,40.94060982480582,13.14989418630491,55118.50301143231,520.7672774662996,96.12004791094317,40.59065917595212,8.062261886594401,1049.31785112358,0.584191763881929,34.85920960765272
34,"POLYGON ((-75.03004751820215 40.044362944354106, -75.03631251131984 40.04326004545894, -75.03815134850285 40.038821525269235, -75.03372609921551 40.035486213251495, -75.02746208491233 40.036588873783224, -75.02562234118484 40.041027084664236, -75.03004751820215 40.044362944354106))",882a134027fffff,1930.7204701543567,47.954986568875384,38.364051250107075,43.93570410366111,24.94668343163838,64107.98796416814,807.70524561262,93.06676897436465,35.273972131132496,7.346307272023175,1456.6606050506718,0.584386852277795,61.1840160551389
35,"POLYGON ((-75.12659480106177 40.03555655021279, -75.13285668399503 40.0344485373875, -75.1346862036269 40.03000888741436, -75.13025474873453 40.026677557789256, -75.12399384265163 40.0277853304137, -75.12216341471311 40.032224672832, -75.12659480106177 40.03555655021279))",882a134a8dfffff,1780.3859591429805,52.70311258209123,34.44937457079428,6.027829166413259,42.192277495080944,51645.672218156826,679.302094995725,92.55318205127936,38.0145933157745,11.307101889637206,1260.4670799861997,0.5549334938805016,61.041586195592885
36,"POLYGON ((-75.1505899856403 40.047774745041835, -75.15685300079278 40.04666527717529, -75.15868076089762 40.04222452415777, -75.15424641524906 40.03889354616365, -75.14798437705231 40.040002773324076, -75.14615570765078 40.04444321915258, -75.1505899856403 40.047774745041835))",882a134ae5fffff,1416.5301327242753,61.106222900455286,37.6737911278713,6.481928258090401,86.05481206494626,39586.491201325174,546.9755574134629,94.36835432229466,57.26354342665618,11.501820277903471,1170.1989623582488,0.1275357331969188,93.97343390812986
37,"POLYGON ((-75.22333976744511 39.99781613555037, -75.2295946825592 39.99670337829364, -75.23141374869289 39.99226426695843, -75.22697880876042 39.98893821849985, -75.22072486732463 39.990050733818634, -75.21890489224472 39.99448953950165, -75.22333976744511 39.99781613555037))",882a1349d3fffff,1803.987051316088,53.6476667401162,43.24850589294302,26.31791596144671,60.84495978939314,48002.85755778181,856.5193945369496,89.34004581652655,73.3135491634594,4.1282696604306945,1570.1533938346483,0.44966813330938304,77.04416812824923
38,"POLYGON ((-75.13989276981765 40.04555207959795, -75.14615570765078 40.04444321915258, -75.14798437705231 40.040002773324076, -75.14355101770245 40.03667149527681, -75.1372890569115 40.03778011523031, -75.13545947853063 40.04222025369081, -75.13989276981765 40.04555207959795))",882a134ae1fffff,1526.0225372333384,57.968348379337016,41.17560535914675,3.495410068376542,81.52781223422211,53345.48995926455,688.9465200004746,93.36598354425722,49.60216581464791,17.063032431146873,1188.7320015611658,0.2199256607663081,41.68134486106753
39,"POLYGON ((-75.07800718175102 40.0688386021056, -75.08427445808167 40.06773279529107, -75.08610978704819 40.06329206327023, -75.08167874831706 40.059957446612195, -75.07541245102135 40.06106301405226, -75.07357621352467 40.065503437492815, -75.07800718175102 40.0688386021056))",882a134105fffff,2046.241535221105,49.77471850237406,41.13008584642886,59.49616662157665,21.004737556450216,68305.99436066105,897.6427671722963,92.54979675069067,30.00554188947442,2.696965022621447,1662.598415804734,0.5166473379099952,32.1028620125101
40,"POLYGON ((-74.99245186445043 40.05097350407639, -74.99871848406264 40.049872557908394, -75.00056107233739 40.045434299525255, -74.99613794707959 40.042097297284634, -74.98987230717529 40.04319800579508, -74.98802881292397 40.047635954171874, -74.99245186445043 40.05097350407639))",882a134001fffff,910.3028484337393,52.40399489606842,46.54073802428067,76.43137831692303,10.2390243516802,106671.66368854587,480.4875727851109,97.23233041206052,17.75282369713279,3.1141062927319716,813.3599561628266,0.11720798851817593,68.44772557155824
