hex_index,polygon
882664cac1fffff,"POLYGON ((-87.67624123128404 41.91171239712857, -87.68228229501015 41.90990424054411, -87.68292590409727 41.905251044057586, -87.67752960554198 41.90240606085981, -87.67148926554027 41.90421376064819, -87.67084450040187 41.908866900377824, -87.67624123128404 41.91171239712857))"
882664cd63fffff,"POLYGON ((-87.714489015342 41.802175636132645, -87.7205137096301 41.80036876204223, -87.72115189162214 41.795721780126975, -87.71576653006665 41.79288172822172, -87.70974255479034 41.79468814584442, -87.70910322208958 41.799335071787645, -87.714489015342 41.802175636132645))"
8826641967fffff,"POLYGON ((-87.57986280915937 41.69112291757305, -87.58588029966661 41.68932601719389, -87.5865306646879 41.68468533465341, -87.58116468398417 41.68184161140452, -87.57514791355814 41.68363805783651, -87.57449640378728 41.688278681412335, -87.57986280915937 41.69112291757305))"
882664d891fffff,"POLYGON ((-87.65035020747477 41.97299917196487, -87.65640069656817 41.97119053360734, -87.65704781264948 41.96653387410503, -87.65164559870746 41.96368591020391, -87.64559583614093 41.96549409164086, -87.64494756102226 41.97015069384683, -87.65035020747477 41.97299917196487))"
882664ce27fffff,"POLYGON ((-87.60789929004588 41.82071075373126, -87.61393215254384 41.81890867342643, -87.61458147664726 41.81426062088256, -87.60919908956272 41.81141470688639, -87.60316695024763 41.81321633193138, -87.60251647486695 41.81786432617994, -87.60789929004588 41.82071075373126))"
882664cc6dfffff,"POLYGON ((-87.64408806427559 41.809894527236224, -87.65011756608094 41.80809094972644, -87.65076304322243 41.80344351541449, -87.64538016945215 41.8005997160683, -87.63935138927276 41.8024028379405, -87.6387047612701 41.80705021474403, -87.64408806427559 41.809894527236224))"
882664cc39fffff,"POLYGON ((-87.62041947682184 41.77244002363541, -87.626445371241 41.77063872316137, -87.6270927411671 41.76599341349581, -87.62171536562532 41.763149462294976, -87.61569019246 41.764950307707494, -87.61504167361515 41.76959555933003, -87.62041947682184 41.77244002363541))"
882664cf09fffff,"POLYGON ((-87.64494903601442 41.84527992167114, -87.65098310877943 41.84347526939031, -87.65162899173 41.838825828016326, -87.64624195457533 41.83598109634403, -87.6402086045128 41.83778529271487, -87.63956156893495 41.84243467661551, -87.64494903601442 41.84527992167114))"
8826645643fffff,"POLYGON ((-87.61873890528842 41.70174369784709, -87.62475568924916 41.69994454573111, -87.6254022429579 41.69530326153538, -87.62003315814574 41.69246118751491, -87.6140170932945 41.694259885113816, -87.6133693941783 41.69890111119803, -87.61873890528842 41.70174369784709))"
882664cf47fffff,"POLYGON ((-87.64969094982376 41.852774942941366, -87.65572574536564 41.85096983463523, -87.65637124831869 41.84631996920291, -87.65098310877943 41.84347526939031, -87.64494903601442 41.84527992167114, -87.64430238004425 41.84992972973739, -87.64969094982376 41.852774942941366))"
882664c1edfffff,"POLYGON ((-87.63048927308355 41.907553710986754, -87.63653226502389 41.90574797161199, -87.63718049777479 41.901095003660444, -87.63178689430762 41.89824783279281, -87.62574462750952 41.90005311598091, -87.6250952390691 41.904706026170714, -87.63048927308355 41.907553710986754))"
882664ca01fffff,"POLYGON ((-87.71815574259072 41.94377933057234, -87.72419873201099 41.941968136370704, -87.72483849545355 41.93731313705813, -87.71943642730379 41.93446938771686, -87.71339416119162 41.93628012435663, -87.71275323995326 41.94093506784688, -87.71815574259072 41.94377933057234))"
882664ceb5fffff,"POLYGON ((-87.55868037697266 41.75971762661581, -87.5647079313724 41.7579197863745, -87.56536142077024 41.75327519528903, -87.55998850387613 41.750428503790474, -87.55396167240622 41.752225889845974, -87.55330703493354 41.756870421533534, -87.55868037697266 41.75971762661581))"
882664ccd3fffff,"POLYGON ((-87.55120868405398 41.73080382010732, -87.55723287332972 41.72900719531631, -87.55788671650654 41.72436424947384, -87.55251751705532 41.72151798794341, -87.54649405005675 41.72331415885685, -87.54583906026518 41.72795704512603, -87.55120868405398 41.73080382010732))"
882664cf63fffff,"POLYGON ((-87.66779365206554 41.84735886871312, -87.67382676311263 41.84555301128656, -87.67447034053845 41.84090345571758, -87.6690819597568 41.83805981449486, -87.66304957070611 41.83986521570749, -87.66240484047299 41.84451471430426, -87.66779365206554 41.84735886871312))"
882664cf41fffff,"POLYGON ((-87.64300867452583 41.85923013647218, -87.64904467373924 41.857425175037214, -87.64969094982376 41.852774942941366, -87.64430238004425 41.84992972973739, -87.63826710403526 41.85173423518382, -87.63761967463391 41.85638440977025, -87.64300867452583 41.85923013647218))"
882664ccc5fffff,"POLYGON ((-87.58816151032863 41.75537037748515, -87.59418691559131 41.7535711885177, -87.59483733689076 41.748926846419266, -87.58946350092143 41.74608175199154, -87.58343881746364 41.747880486431704, -87.58278724820306 41.75252476977456, -87.58816151032863 41.75537037748515))"
88266452cbfffff,"POLYGON ((-87.72497826986678 41.76784543709254, -87.73099792583558 41.766039044490334, -87.73163456458194 41.76139401679663, -87.72625269642633 41.75855543741234, -87.72023375804905 41.76036137366969, -87.71959597026756 41.765006345603794, -87.72497826986678 41.76784543709254))"
882664cd33fffff,"POLYGON ((-87.70217358132011 41.76577769590256, -87.70819420044126 41.763972503009185, -87.70883313716988 41.75932758708439, -87.70345260366805 41.756487920259694, -87.69743270284258 41.75829265711011, -87.69679261725513 41.76293751677583, -87.70217358132011 41.76577769590256))"
882664ccb7fffff,"POLYGON ((-87.6006852102758 41.70713966631831, -87.60670366574637 41.70534125823464, -87.6073521341576 41.700699664177634, -87.60198329274412 41.69785653665522, -87.5959655571558 41.69965449040989, -87.59531594313124 41.70429602596372, -87.6006852102758 41.70713966631831))"
882664c1e3fffff,"POLYGON ((-87.62100146715468 41.89255291202126, -87.62704300888562 41.89074808490443, -87.62769200190127 41.886095964099425, -87.62230060812564 41.8832487283351, -87.61625979138677 41.885053099496034, -87.61560964346423 41.88970516232461, -87.62100146715468 41.89255291202126))"
882664c1a1fffff,"POLYGON ((-87.63438055651959 41.87963923409845, -87.64041968806288 41.87783411121233, -87.6410671317064 41.87318272247019, -87.63567659814618 41.870336514250724, -87.6296381907379 41.872141181106805, -87.62898959278748 41.87679251215983, -87.63438055651959 41.87963923409845))"
882664c839fffff,"POLYGON ((-87.7667980139118 41.884563797949156, -87.77283062211136 41.88275189510739, -87.77346459170477 41.87810025621288, -87.76806710811658 41.87526057489303, -87.76203521972454 41.8770720199991, -87.7614000951448 41.881723604108124, -87.7667980139118 41.884563797949156))"
882664d9a7fffff,"POLYGON ((-87.78780842191196 41.98539442165724, -87.79385307595109 41.98357851741821, -87.79448627658375 41.978921190011455, -87.7890759833173 41.97607982106363, -87.78303205152075 41.97789526655646, -87.78239769077977 41.982552539690566, -87.78780842191196 41.98539442165724))"
882664cd5dfffff,"POLYGON ((-87.67358692482486 41.80552143319971, -87.67961426505695 41.80371650701567, -87.68025666935289 41.79906932601648, -87.67487288419056 41.79622712801405, -87.6688462644539 41.798031598220625, -87.66820270941632 41.80267872235467, -87.67358692482486 41.80552143319971))"
882664cc01fffff,"POLYGON ((-87.61847465927947 41.78637784673898, -87.62450247471875 41.78457623710889, -87.6251502380565 41.779930135008236, -87.61977133559238 41.77708570056456, -87.61374424190718 41.77888685505462, -87.61309532896459 41.78353289907601, -87.61847465927947 41.78637784673898))"
882664ca8bfffff,"POLYGON ((-87.67342277556082 41.89025592043637, -87.6794611861003 41.88844853027373, -87.68010478489077 41.88379654659271, -87.67471112814256 41.88095200985057, -87.66867344075082 41.882758943411204, -87.66802868699192 41.88741087026343, -87.67342277556082 41.89025592043637))"
882664cc47fffff,"POLYGON ((-87.61652865957919 41.80031804618516, -87.6225583972472 41.798516127635196, -87.62320655435383 41.79386923346277, -87.61782612411659 41.7910243159035, -87.61179710870341 41.79282577923505, -87.61114780130525 41.79747261529188, -87.61652865957919 41.80031804618516))"
882664cb15fffff,"POLYGON ((-87.78873549661685 41.9359916350548, -87.79477363397474 41.934177128390374, -87.7954060630454 41.92952258860872, -87.79000151242036 41.9266826097168, -87.78396409572922 41.92849665798912, -87.78333050902793 41.933151143492786, -87.78873549661685 41.9359916350548))"
882664192bfffff,"POLYGON ((-87.57043448775012 41.67615359778943, -87.57645053817001 41.67435760518958, -87.57710165309047 41.66971777619846, -87.57173786160078 41.666873998931834, -87.56572253111187 41.6686695378146, -87.56507027221438 41.67330930762889, -87.57043448775012 41.67615359778943))"
882664cae3fffff,"POLYGON ((-87.7010437854088 41.89982538228895, -87.70708195249593 41.89801632813589, -87.7077228586306 41.89336380852554, -87.70232675324847 41.89052039923453, -87.6962893086736 41.892328996366295, -87.69564724700076 41.896981459757754, -87.7010437854088 41.89982538228895))"
