hex_index,polygon
882a134a9bfffff,"POLYGON ((-75.09742054853407 40.00779530602617, -75.10367934416558 40.00668922630815, -75.10551050130724 40.0022516575914, -75.10108376952758 39.998920476495975, -75.0948259500839 40.00002631667141, -75.0929938863344 40.004463577452846, -75.09742054853407 40.00779530602617))"
882a13416bfffff,"POLYGON ((-75.07249725622721 40.08216200397132, -75.07876641112738 40.08105632646803, -75.08060277021382 40.07661492694058, -75.07617088342563 40.073279513628044, -75.06990270820413 40.0743849518184, -75.0680654401951 40.078826042602216, -75.07249725622721 40.08216200397132))"
882a134ab9fffff,"POLYGON ((-75.12948307426298 40.014468642357016, -75.13574210559446 40.01336074341814, -75.13757054100974 40.00892225196606, -75.13314085275495 40.00559196682071, -75.12688279735464 40.006699625574946, -75.12505345438021 40.011137809627094, -75.12948307426298 40.014468642357016))"
882a13411dfffff,"POLYGON ((-75.05402098749204 40.05660219571153, -75.06028712314915 40.05549784348363, -75.06212420760556 40.05105821696819, -75.05769606404489 40.04772325159354, -75.0514309073131 40.04882736495263, -75.04959291531952 40.05326668252319, -75.05402098749204 40.05660219571153))"
882a134119fffff,"POLYGON ((-75.0433268611594 40.05437042726462, -75.04959291531952 40.05326668252319, -75.0514309073131 40.04882736495263, -75.04700375246773 40.045492101214734, -75.04073867731732 40.0465956073019, -75.03889977810546 40.05103461574928, -75.0433268611594 40.05437042726462))"
882a134951fffff,"POLYGON ((-75.24429005449565 40.05996582916262, -75.25055276898382 40.05885113361929, -75.25237227632172 40.054408112365536, -75.24792998106497 40.05108009220533, -75.24166824246664 40.052194545192016, -75.2398478233373 40.056637260863155, -75.24429005449565 40.05996582916262))"
882a1348bbfffff,"POLYGON ((-75.18344869555638 39.967876141023886, -75.189700466211 39.966765925788614, -75.19152208843926 39.962329199503614, -75.1870928470518 39.95900299463572, -75.1808420495094 39.960112968805, -75.17901952034393 39.964549388876016, -75.18344869555638 39.967876141023886))"
882a134137fffff,"POLYGON ((-75.08901776370026 40.04219780724682, -75.09528128590665 40.041091743227355, -75.09711455713047 40.03665234758456, -75.09268521399635 40.033319324183, -75.08642266953915 40.03442514870537, -75.08458849056947 40.038864236094376, -75.08901776370026 40.04219780724682))"
882a134a23fffff,"POLYGON ((-75.16911594808829 40.073316852922446, -75.17538197238224 40.072206054333, -75.17720899550613 40.06776352937736, -75.17277090512037 40.06443210996406, -75.1665058585292 40.06554266740208, -75.16467792472349 40.06998488537262, -75.16911594808829 40.073316852922446))"
882a13410dfffff,"POLYGON ((-75.06990270820413 40.0743849518184, -75.07617088342563 40.073279513628044, -75.07800718175102 40.0688386021056, -75.07357621352467 40.065503437492815, -75.06730901770239 40.066608636446816, -75.06547181081012 40.071049239217956, -75.06990270820413 40.0743849518184))"
882a1348dbfffff,"POLYGON ((-75.14045231085498 39.98784129716044, -75.14670759569216 39.986733147003434, -75.14853398279347 39.98229599682169, -75.14410599193435 39.97896730383938, -75.13785168174743 39.98007521369101, -75.13602438787142 39.984512056798245, -75.14045231085498 39.98784129716044))"
882a134065fffff,"POLYGON ((-75.01900352178694 40.07099847315216, -75.02527226821002 40.069895835901086, -75.02711316871661 40.065455981877626, -75.0226862302289 40.0621190747094, -75.01641846390667 40.063221473721256, -75.01457665607441 40.06766101810868, -75.01900352178694 40.07099847315216))"
882a13430bfffff,"POLYGON ((-74.99982978931345 40.103185363601035, -75.0061031911895 40.1020833604224, -75.00794712973669 40.09764199667372, -75.00351857465411 40.09430294620667, -74.99724615453191 40.095404711409685, -74.99540130784185 40.099845765023524, -74.99982978931345 40.103185363601035))"
882a134b11fffff,"POLYGON ((-75.20123424196636 40.07997672682327, -75.20750049335977 40.078864103335256, -75.20932478253377 40.074420658501346, -75.20488373205063 40.071090143569634, -75.19861845809757 40.07220252526296, -75.19679325728964 40.076645663650375, -75.20123424196636 40.07997672682327))"
882aacb2edfffff,"POLYGON ((-75.23730952499517 39.92128571571515, -75.24355404030919 39.92017319935381, -75.24536886913317 39.91573825093008, -75.24094008905327 39.912416123865526, -75.23469654403827 39.913528398284896, -75.23288080890534 39.917963041678554, -75.23730952499517 39.92128571571515))"
882a134d39fffff,"POLYGON ((-75.16782169610724 39.92130817768982, -75.17406763222613 39.9201994076969, -75.17588891299408 39.91576561857276, -75.17146516256153 39.91244090567186, -75.16522019790054 39.91354943506004, -75.16339801231571 39.91798291792181, -75.16782169610724 39.92130817768982))"
882a1348c1fffff,"POLYGON ((-75.16703315718937 40.00781638600704, -75.17329054557638 40.00670654234324, -75.17511523302161 40.00226780066089, -75.17068344029798 39.9989392093113, -75.16442702694242 40.00004881208842, -75.16260143138108 40.004487247069626, -75.16703315718937 40.00781638600704))"
882a134063fffff,"POLYGON ((-75.00572483228966 40.0609860599737, -75.01199251547656 40.059884268557184, -75.01383426041525 40.05544521221937, -75.00940922892107 40.05210825708756, -75.00314252563872 40.053209810555764, -75.00129987404908 40.05764855707224, -75.00572483228966 40.0609860599737))"
