hex_index,polygon
882aa8c0e5fffff,"POLYGON ((-76.69066964431063 39.30280749156567, -76.69680107527924 39.30162645848491, -76.69845836074833 39.29720511492601, -76.69398512731321 39.29396508044578, -76.68785461654119 39.2951458465777, -76.6861964190986 39.299566914103856, -76.69066964431063 39.30280749156567))"
882aa8c469fffff,"POLYGON ((-76.5784839086092 39.23827304255917, -76.58460970386233 39.23709889819179, -76.58627513217372 39.232683029677084, -76.5818156726912 39.22944158327815, -76.57569079717793 39.230615463028165, -76.57402446149833 39.23503105375996, -76.5784839086092 39.23827304255917))"
882aa8c2e7fffff,"POLYGON ((-76.63328889994672 39.33435427721832, -76.63942577791194 39.33317577131459, -76.64108948874163 39.32875338247038, -76.63661723378827 39.32550977670997, -76.6304812782898 39.326688016591945, -76.62881665536925 39.33111012822134, -76.63328889994672 39.33435427721832))"
882aa8c66dfffff,"POLYGON ((-76.53448671959994 39.27947381892901, -76.54061886599246 39.27830135136302, -76.54228981245494 39.273883670340275, -76.53782952071504 39.270638735612295, -76.5316982964527 39.27181093920403, -76.53002644189152 39.27622834146352, -76.53448671959994 39.27947381892901))"
882aa8d503fffff,"POLYGON ((-76.5518097582461 39.3540694655387, -76.55795112344853 39.352894944087105, -76.55962308565609 39.348472573519864, -76.55515459403894 39.3452250031513, -76.54901415355079 39.34639926000483, -76.5473412800573 39.350821351790415, -76.5518097582461 39.3540694655387))"
882aa8d563fffff,"POLYGON ((-76.56801813049617 39.37148527557573, -76.57416136172918 39.370309633859314, -76.57583243213962 39.365885991926746, -76.57136118367453 39.3626382702408, -76.5652188775394 39.36381364698864, -76.5635468948633 39.36823701035635, -76.56801813049617 39.37148527557573))"
882aa8c46dfffff,"POLYGON ((-76.58907007362828 39.240340577441664, -76.59519588377569 39.23916584572101, -76.59686040443788 39.2347496996059, -76.59240002269281 39.231508562777314, -76.58627513217372 39.232683029677084, -76.58460970386233 39.23709889819179, -76.58907007362828 39.240340577441664))"
882aa8c01dfffff,"POLYGON ((-76.67010568035049 39.32727867477521, -76.67624076252875 39.32609834245319, -76.67790080950535 39.32167583995212, -76.67342668691622 39.31843394625263, -76.66729252625828 39.31961401190345, -76.66563156676028 39.32403623789014, -76.67010568035049 39.32727867477521))"
882aa8d507fffff,"POLYGON ((-76.56242052940112 39.356142746227626, -76.56856191068611 39.354967634365366, -76.5702329613243 39.3505449851998, -76.56576354233862 39.34729772646021, -76.55962308565609 39.348472573519864, -76.55795112344853 39.352894944087105, -76.56242052940112 39.356142746227626))"
882aa8c725fffff,"POLYGON ((-76.6292409070981 39.269514524025894, -76.63536951863797 39.26833723310299, -76.63703133832031 39.263918763092846, -76.63256545608338 39.26067786097258, -76.62643776457156 39.26185488621489, -76.62477503535959 39.266273079223424, -76.6292409070981 39.269514524025894))"
882aa8c04bfffff,"POLYGON ((-76.66013525020861 39.3538185939328, -76.66627399827318 39.352638375029045, -76.66793589777942 39.34821443916027, -76.66345996266318 39.34497099897301, -76.65732213733082 39.346150951279945, -76.65565932447379 39.35057461033614, -76.66013525020861 39.3538185939328))"
882aa8c2c9fffff,"POLYGON ((-76.58865348502358 39.34701775774042, -76.59479306361538 39.345841405041675, -76.59646135980661 39.3414189141361, -76.59199098922035 39.338173053976256, -76.58585233439966 39.33934914142507, -76.58418312648573 39.34377135424899, -76.58865348502358 39.34701775774042))"
882aa8c297fffff,"POLYGON ((-76.60086126010329 39.29955995677557, -76.60699442212484 39.29838369248413, -76.6086599228054 39.29396384568281, -76.60419317169345 39.29072054078793, -76.59806093137907 39.2918965397984, -76.59639452056076 39.296316108950094, -76.60086126010329 39.29955995677557))"
